graph,n_vars,p_conf,sim,n_confounders,query,query_is_cf,n_R_theta,n_R_theta_star,n_experiments,n_cf_experiments,fraction_cf,n_useless,n_useful,fraction_pruned,id_pruned,blocked_pruned
asia.bif,8,0.025,3,1,"Y={'asia', 'tub', 'bronc', 'dysp'}, X={'either', 'lung'}; Y={'dysp'}, X={'either', 'smoke', 'bronc'}",True,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.025,4,0,"Y={'xray', 'tub', 'bronc', 'dysp'}, X={'either'}; Y={'smoke', 'bronc', 'xray'}, X={'either', 'asia', 'tub', 'lung'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.025,5,1,"Y={'either', 'tub'}, X={'asia', 'smoke', 'lung'}; Y={'tub'}, X={'asia'}",True,1,1,50,0,0.0,44,6,0.88,44,0
asia.bif,8,0.025,6,2,"Y={'asia', 'bronc'}, X={'smoke'}; Y={'either', 'bronc'}, X={'smoke'}",True,1,2,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.025,7,0,"Y={'tub'}, X={'asia'}; Y={'either', 'tub', 'dysp'}, X={'asia', 'smoke'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.025,8,1,"Y={'asia', 'tub', 'bronc', 'xray'}, X={'either', 'smoke', 'lung'}; Y={'either', 'tub', 'lung', 'xray'}, X={'asia', 'smoke'}",True,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.025,9,0,"Y={'either', 'asia', 'tub', 'lung'}, X={'smoke'}; Y={'lung'}, X={'smoke'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.035,0,0,"Y={'tub'}, X={'asia'}; Y={'either', 'tub', 'bronc'}, X={'asia', 'smoke', 'lung'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.035,1,0,"Y={'either'}, X={'asia', 'tub', 'lung'}; Y={'lung', 'xray', 'either', 'smoke', 'dysp'}, X={'tub', 'bronc'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.035,2,0,"Y={'either', 'tub'}, X={'lung'}; Y={'asia', 'xray', 'either', 'smoke', 'dysp'}, X={'lung', 'bronc'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.035,3,2,"Y={'bronc'}, X={'smoke'}; Y={'bronc'}, X={'smoke'}",True,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.035,4,1,"Y={'tub', 'lung', 'xray', 'either', 'bronc'}, X={'smoke'}; Y={'either'}, X={'smoke'}",True,0,0,50,0,0.0,50,0,1.0,50,0
