graph,n_vars,u_v_ratio,sim,n_confounders,n_districts,query,query_is_cf,min_intervention_outcome_dist,n_R_theta,n_R_theta_star,n_experiments,n_cf_experiments,fraction_cf,n_useless,n_useful,fraction_pruned,id_pruned,blocked_pruned
alarm.bif,37,0.6216216216216216,1,23,17,"Y={'ERRCAUTER', 'MINVOLSET', 'STROKEVOLUME', 'PCWP'}, X={'LVEDVOLUME', 'HYPOVOLEMIA', 'LVFAILURE'}",False,1,7,21,30,23,0.7666666666666667,6,24,0.2,5,1
alarm.bif,37,0.5945945945945946,2,22,15,"Y={'KINKEDTUBE', 'PULMEMBOLUS', 'DISCONNECT', 'HRSAT'}, X={'FIO2'}; Y={'PULMEMBOLUS', 'PVSAT'}, X={'VENTLUNG', 'VENTTUBE', 'DISCONNECT', 'FIO2'}",True,1,18,21,30,21,0.7,8,22,0.26666666666666666,8,0
alarm.bif,37,0.8378378378378378,3,31,8,"Y={'HR', 'KINKEDTUBE', 'PAP', 'PVSAT'}, X={'CATECHOL'}",False,1,19,30,30,23,0.7666666666666667,7,23,0.23333333333333334,7,0
alarm.bif,37,0.972972972972973,4,36,6,"Y={'ERRCAUTER', 'ANAPHYLAXIS', 'VENTLUNG'}, X={'INTUBATION', 'VENTMACH', 'DISCONNECT'}; Y={'VENTLUNG', 'EXPCO2', 'STROKEVOLUME'}, X={'MINVOLSET', 'HYPOVOLEMIA', 'ARTCO2', 'DISCONNECT'}",True,1,16,35,30,20,0.6666666666666666,4,26,0.13333333333333333,4,0
barley.bif,48,0.125,0,6,42,"Y={'aar_mod', 'sorttkv', 'ksort', 'sort'}, X={'tkvs', 'pesticid', 'frspdag'}",False,3,6,6,30,24,0.8,6,24,0.2,6,0
barley.bif,48,0.2708333333333333,1,13,35,"Y={'jordinf', 'aks_m2', 'saatid'}, X={'pesticid', 'ngodn'}",False,3,6,10,30,18,0.6,11,19,0.36666666666666664,10,1
barley.bif,48,0.7916666666666666,2,38,12,"Y={'ngodn', 'spndx', 'protein'}, X={'komm', 'nedbarea'}; Y={'ngodnn', 'ngodn', 'ngodnt', 'protein'}, X={'komm', 'dg25', 'frspdag', 'sorttkv'}",True,2,37,38,30,22,0.7333333333333333,6,24,0.2,6,0
barley.bif,48,0.5416666666666666,3,26,23,"Y={'s2225'}, X={'dgv1059', 'saakern', 'tkvs', 'srtsize'}; Y={'ngodnn', 'nopt', 'potnmin', 's2225', 'sorttkv'}, X={'ngodnt', 'tkvs'}",True,1,23,26,30,21,0.7,8,22,0.26666666666666666,8,0
barley.bif,48,0.4375,4,21,28,"Y={'ngodnn', 'udb', 'forfrugt', 'nedbarea'}, X={'antplnt', 'jordinf', 'nmin', 'komm', 'saatid'}",False,1,16,20,30,17,0.5666666666666667,12,18,0.4,12,0
child.bif,20,0.15,0,3,17,"Y={'DuctFlow', 'Age', 'HypDistrib', 'LowerBodyO2'}, X={'BirthAsphyxia', 'LungParench', 'CardiacMixing'}",False,1,3,3,30,18,0.6,14,16,0.4666666666666667,10,4
child.bif,20,0.1,1,2,18,"Y={'LungFlow', 'BirthAsphyxia', 'LungParench', 'LowerBodyO2', 'ChestXray'}, X={'DuctFlow', 'HypoxiaInO2', 'HypDistrib'}",False,1,2,2,30,22,0.7333333333333333,10,20,0.3333333333333333,7,3
child.bif,20,0.7,2,14,6,"Y={'LungFlow', 'BirthAsphyxia', 'XrayReport'}, X={'ChestXray'}; Y={'LungFlow', 'XrayReport', 'CardiacMixing'}, X={'BirthAsphyxia', 'Disease', 'LungParench', 'ChestXray'}",True,1,8,14,30,23,0.7666666666666667,7,23,0.23333333333333334,6,1
child.bif,20,0.1,3,2,18,"Y={'DuctFlow', 'HypDistrib', 'LungFlow', 'GruntingReport'}, X={'BirthAsphyxia', 'Sick', 'CardiacMixing', 'Disease'}",False,1,1,1,30,22,0.7333333333333333,20,10,0.6666666666666666,8,12
child.bif,20,0.85,4,17,4,"Y={'RUQO2'}, X={'Disease'}; Y={'RUQO2'}, X={'Disease'}",True,3,7,16,30,20,0.6666666666666666,9,21,0.3,9,0
insurance.bif,27,0.7777777777777778,0,21,9,"Y={'SocioEcon', 'Mileage', 'OtherCar', 'AntiTheft'}, X={'Age', 'RiskAversion'}",False,1,5,18,30,22,0.7333333333333333,5,25,0.16666666666666666,5,0
insurance.bif,27,0.4074074074074074,1,11,17,"Y={'GoodStudent', 'DrivingSkill', 'SeniorTrain', 'ThisCarCost'}, X={'Antilock'}; Y={'RuggedAuto', 'ThisCarCost', 'ILiCost', 'DrivingSkill'}, X={'SeniorTrain', 'ThisCarDam', 'CarValue', 'RiskAversion', 'Antilock'}",True,1,11,11,30,22,0.7333333333333333,8,22,0.26666666666666666,8,0
insurance.bif,27,0.9259259259259259,2,25,5,"Y={'DrivHist', 'Antilock'}, X={'Age', 'SeniorTrain'}; Y={'ILiCost', 'Antilock', 'OtherCarCost'}, X={'DrivingSkill', 'SeniorTrain', 'SocioEcon', 'Accident', 'Mileage'}",True,1,17,25,30,21,0.7,5,25,0.16666666666666666,5,0
