graph,n_vars,u_v_ratio,sim,n_confounders,n_districts,query,query_is_cf,min_intervention_outcome_dist,n_R_theta,n_R_theta_star,n_experiments,n_cf_experiments,fraction_cf,n_useless,n_useful,fraction_pruned,id_pruned,blocked_pruned
asia.bif,8,0.125,0,1,7,"Y={'dysp', 'smoke', 'asia', 'either'}, X={'lung', 'tub', 'bronc'}",False,1,1,1,30,0,0.0,30,0,1.0,30,0
asia.bif,8,1.0,1,8,3,"Y={'dysp'}, X={'asia'}",False,3,8,8,30,0,0.0,7,23,0.23333333333333334,7,0
asia.bif,8,0.125,2,1,7,"Y={'either'}, X={'smoke', 'lung', 'tub', 'asia'}",False,1,1,1,30,0,0.0,30,0,1.0,30,0
asia.bif,8,0.875,3,7,2,"Y={'lung', 'bronc', 'xray', 'dysp', 'either'}, X={'smoke', 'tub', 'asia'}; Y={'xray', 'bronc', 'dysp'}, X={'smoke', 'lung', 'tub', 'asia', 'either'}",True,1,6,7,30,0,0.0,12,18,0.4,12,0
asia.bif,8,0.125,4,1,7,"Y={'lung', 'tub', 'asia'}, X={'smoke'}",False,1,1,1,30,0,0.0,30,0,1.0,30,0
sachs.bif,11,0.8181818181818182,0,9,3,"Y={'Mek', 'Raf', 'Akt', 'PKA'}, X={'PKC', 'Erk'}",False,1,5,9,30,0,0.0,22,8,0.7333333333333333,22,0
sachs.bif,11,0.2727272727272727,1,3,8,"Y={'PIP3', 'P38'}, X={'PKC', 'PKA'}",False,1,2,2,30,0,0.0,14,16,0.4666666666666667,14,0
sachs.bif,11,0.36363636363636365,2,4,7,"Y={'Erk', 'Akt'}, X={'PKC', 'Raf', 'Mek', 'PKA'}; Y={'Akt'}, X={'Raf', 'Mek', 'PKA'}",True,1,2,2,30,0,0.0,21,9,0.7,20,1
sachs.bif,11,0.45454545454545453,3,5,6,"Y={'PKC', 'Plcg', 'Jnk'}, X={'PKA'}; Y={'P38', 'PKC', 'PIP2', 'Plcg'}, X={'PIP3', 'PKA'}",True,1,5,5,30,0,0.0,10,20,0.3333333333333333,10,0
sachs.bif,11,0.6363636363636364,4,7,4,"Y={'Raf', 'Akt'}, X={'PKA'}; Y={'Raf'}, X={'PKC', 'PKA'}",True,1,7,7,30,0,0.0,15,15,0.5,15,0
alarm.bif,37,0.13513513513513514,0,5,32,"Y={'VENTLUNG', 'PRESS', 'HYPOVOLEMIA', 'TPR'}, X={'MINVOLSET', 'VENTTUBE', 'KINKEDTUBE'}",False,1,1,1,30,0,0.0,30,0,1.0,30,0
alarm.bif,37,0.7297297297297297,1,27,10,"Y={'PRESS'}, X={'DISCONNECT', 'MINVOLSET', 'INTUBATION', 'VENTMACH', 'KINKEDTUBE'}",False,1,3,26,30,0,0.0,30,0,1.0,30,0
alarm.bif,37,0.972972972972973,2,36,4,"Y={'VENTLUNG', 'HYPOVOLEMIA', 'KINKEDTUBE'}, X={'INTUBATION', 'MINVOLSET', 'VENTTUBE', 'DISCONNECT'}",False,1,7,36,30,0,0.0,17,13,0.5666666666666667,17,0
alarm.bif,37,0.24324324324324326,3,9,28,"Y={'HRSAT'}, X={'INTUBATION', 'HR', 'TPR'}; Y={'ARTCO2', 'KINKEDTUBE', 'HRSAT', 'LVFAILURE'}, X={'PULMEMBOLUS', 'MINVOLSET', 'TPR'}",True,1,6,7,30,0,0.0,29,1,0.9666666666666667,29,0
alarm.bif,37,0.8648648648648649,4,32,9,"Y={'KINKEDTUBE', 'PULMEMBOLUS', 'TPR', 'PCWP'}, X={'HYPOVOLEMIA'}",False,2,12,32,30,0,0.0,24,6,0.8,24,0
barley.bif,48,0.125,0,6,42,"Y={'aar_mod', 'sorttkv', 'ksort', 'sort'}, X={'tkvs', 'pesticid', 'frspdag'}",False,3,6,6,30,0,0.0,30,0,1.0,30,0
barley.bif,48,0.9791666666666666,1,47,6,"Y={'aks_m2'}, X={'aar_mod', 'pesticid'}; Y={'aks_m2'}, X={'aar_mod', 'saatid'}",True,2,42,47,30,0,0.0,20,10,0.6666666666666666,20,0
barley.bif,48,0.08333333333333333,2,4,44,"Y={'ntilg', 'partigerm', 'aks_m2'}, X={'nopt', 'pesticid', 'potnmin', 'exptgens', 'aar_mod'}",False,2,4,4,30,0,0.0,29,1,0.9666666666666667,29,0
barley.bif,48,0.3958333333333333,3,19,29,"Y={'jordinf', 'ngodnt', 'ntilg', 'komm', 'dgv5980'}, X={'rokap', 'potnmin', 'nmin'}; Y={'tkv', 'komm', 'protein'}, X={'potnmin', 'nedbarea'}",True,1,17,18,30,0,0.0,30,0,1.0,30,0
barley.bif,48,0.9375,4,45,9,"Y={'jordinf', 'udb'}, X={'nopt', 'partigerm', 'jordtype', 'jordn', 'ngtilg'}",False,2,21,45,30,0,0.0,14,16,0.4666666666666667,14,0
child.bif,20,0.15,0,3,17,"Y={'DuctFlow', 'Age', 'HypDistrib', 'LowerBodyO2'}, X={'BirthAsphyxia', 'LungParench', 'CardiacMixing'}",False,1,3,3,30,0,0.0,29,1,0.9666666666666667,29,0
child.bif,20,0.3,1,6,14,"Y={'LungParench'}, X={'BirthAsphyxia', 'Disease'}",False,1,2,3,30,0,0.0,30,0,1.0,30,0
child.bif,20,0.05,2,1,19,"Y={'HypoxiaInO2', 'LungParench', 'CardiacMixing', 'ChestXray'}, X={'BirthAsphyxia', 'Disease', 'LungFlow'}",False,1,1,1,30,0,0.0,30,0,1.0,30,0
child.bif,20,0.1,3,2,18,"Y={'LowerBodyO2', 'RUQO2', 'Disease', 'LVHreport'}, X={'LungParench', 'DuctFlow', 'HypDistrib', 'CardiacMixing', 'LVH'}; Y={'Age', 'LungParench', 'LVHreport', 'RUQO2', 'LVH'}, X={'Sick', 'BirthAsphyxia', 'Disease', 'CardiacMixing'}",True,1,1,2,30,0,0.0,25,5,0.8333333333333334,25,0
child.bif,20,0.15,4,3,17,"Y={'BirthAsphyxia', 'Sick', 'LungParench'}, X={'Disease'}",False,1,2,3,30,0,0.0,22,8,0.7333333333333333,22,0
insurance.bif,27,0.7777777777777778,0,21,9,"Y={'SocioEcon', 'Mileage', 'OtherCar', 'AntiTheft'}, X={'Age', 'RiskAversion'}",False,1,5,18,30,0,0.0,22,8,0.7333333333333333,22,0
insurance.bif,27,0.6666666666666666,1,18,9,"Y={'DrivHist'}, X={'SeniorTrain'}",False,2,8,16,30,0,0.0,22,8,0.7333333333333333,22,0
insurance.bif,27,0.9629629629629629,2,26,7,"Y={'PropCost', 'Age', 'OtherCarCost'}, X={'Mileage'}",False,2,24,26,30,0,0.0,18,12,0.6,18,0
insurance.bif,27,0.2222222222222222,3,6,21,"Y={'GoodStudent'}, X={'SocioEcon', 'Age'}; Y={'GoodStudent', 'DrivingSkill', 'OtherCar', 'DrivQuality', 'Antilock'}, X={'SocioEcon', 'RiskAversion', 'Age', 'SeniorTrain'}",True,1,4,5,30,0,0.0,28,2,0.9333333333333333,28,0
insurance.bif,27,0.48148148148148145,4,13,14,"Y={'DrivingSkill', 'ThisCarDam'}, X={'RuggedAuto', 'DrivQuality'}",False,1,10,13,30,0,0.0,17,13,0.5666666666666667,17,0
mildew.bif,35,0.11428571428571428,0,4,31,"Y={'meldug_4', 'dm_3', 'straaling_1', 'middel_2'}, X={'nedboer_1', 'lai_1', 'dm_2'}",False,1,4,4,30,0,0.0,29,1,0.9666666666666667,29,0
mildew.bif,35,0.6571428571428571,1,23,12,"Y={'udbytte'}, X={'dm_3', 'dm_4'}",False,1,4,22,30,0,0.0,17,13,0.5666666666666667,17,0
mildew.bif,35,0.6571428571428571,2,23,13,"Y={'nedboer_2', 'foto_4', 'temp_3', 'meldug_2'}, X={'lai_0'}; Y={'nedboer_2', 'foto_2', 'nedboer_3'}, X={'temp_1', 'lai_0', 'middel_1'}",True,3,21,23,30,0,0.0,25,5,0.8333333333333334,25,0
mildew.bif,35,0.5142857142857142,3,18,17,"Y={'foto_3'}, X={'mikro_1', 'meldug_2'}",False,3,11,17,30,0,0.0,27,3,0.9,27,0
mildew.bif,35,0.5142857142857142,4,18,17,"Y={'meldug_4'}, X={'mikro_3', 'lai_2'}; Y={'meldug_4', 'nedboer_3', 'lai_3', 'mikro_1', 'temp_2'}, X={'nedboer_2', 'lai_1', 'nedboer_1', 'mikro_3'}",True,1,14,16,30,0,0.0,28,2,0.9333333333333333,28,0
water.bif,32,0.125,0,4,28,"Y={'CNOD_12_15', 'CKNN_12_30', 'CKNI_12_45', 'CBODD_12_00'}, X={'CKNI_12_15', 'CKNI_12_00', 'CNOD_12_00'}",False,1,2,2,30,0,0.0,29,1,0.9666666666666667,29,0
water.bif,32,0.40625,1,13,19,"Y={'CNOD_12_30', 'CBODD_12_15'}, X={'CKNN_12_00', 'C_NI_12_00', 'CKNI_12_00'}; Y={'CBODD_12_15'}, X={'CNOD_12_00', 'C_NI_12_00', 'CKNI_12_00'}",True,1,9,11,30,0,0.0,22,8,0.7333333333333333,22,0
water.bif,32,0.9375,2,30,9,"Y={'CNON_12_00', 'C_NI_12_30', 'CBODN_12_15', 'CNOD_12_00'}, X={'C_NI_12_15', 'CBODN_12_00', 'C_NI_12_00', 'CBODD_12_00'}",False,1,11,29,30,0,0.0,13,17,0.43333333333333335,13,0
water.bif,32,0.5,3,16,16,"Y={'CBODN_12_15'}, X={'CNON_12_00', 'CBODD_12_00'}",False,1,1,12,30,0,0.0,23,7,0.7666666666666667,23,0
water.bif,32,0.875,4,28,7,"Y={'CKND_12_15', 'CBODN_12_30', 'C_NI_12_15', 'CKNI_12_45', 'CKND_12_00'}, X={'CBODN_12_15', 'CNOD_12_00'}; Y={'CNON_12_30', 'CKND_12_45', 'CBODN_12_30'}, X={'CNOD_12_00'}",True,1,24,28,30,0,0.0,16,14,0.5333333333333333,16,0
asia.bif,8,0.125,0,1,7,"Y={'dysp', 'smoke', 'asia', 'either'}, X={'lung', 'tub', 'bronc'}",False,1,1,1,30,9,0.3,24,6,0.8,21,3
asia.bif,8,0.125,1,1,7,"Y={'dysp'}, X={'either'}; Y={'dysp'}, X={'lung', 'bronc', 'tub', 'asia', 'either'}",True,1,1,1,30,7,0.23333333333333334,20,10,0.6666666666666666,19,1
asia.bif,8,0.375,2,3,5,"Y={'asia', 'tub', 'xray'}, X={'either'}; Y={'tub', 'xray'}, X={'lung', 'smoke', 'asia', 'either'}",True,1,2,3,30,8,0.26666666666666666,19,11,0.6333333333333333,19,0
asia.bif,8,0.125,3,1,7,"Y={'smoke', 'bronc', 'asia', 'dysp'}, X={'lung', 'tub', 'either'}",False,1,1,1,30,3,0.1,27,3,0.9,27,0
asia.bif,8,0.75,4,6,3,"Y={'tub'}, X={'asia'}; Y={'lung', 'xray', 'tub', 'dysp', 'either'}, X={'smoke', 'asia'}",True,1,5,6,30,10,0.3333333333333333,3,27,0.1,3,0
sachs.bif,11,0.8181818181818182,0,9,3,"Y={'Mek', 'Raf', 'Akt', 'PKA'}, X={'PKC', 'Erk'}",False,1,5,9,30,11,0.36666666666666664,10,20,0.3333333333333333,10,0
sachs.bif,11,0.45454545454545453,1,5,6,"Y={'Raf'}, X={'PKA'}; Y={'Raf'}, X={'PKC', 'PKA'}",True,1,2,4,30,9,0.3,12,18,0.4,11,1
sachs.bif,11,0.6363636363636364,2,7,4,"Y={'PIP3', 'Raf', 'P38'}, X={'PKC', 'Plcg', 'PKA'}; Y={'PIP3', 'PKA'}, X={'Plcg'}",True,1,6,6,30,8,0.26666666666666666,6,24,0.2,6,0
sachs.bif,11,0.09090909090909091,3,1,10,"Y={'Mek'}, X={'PKC', 'Raf', 'PKA'}; Y={'PKC', 'P38', 'Mek', 'Plcg', 'Erk'}, X={'Raf', 'PKA'}",True,1,1,1,30,6,0.2,21,9,0.7,20,1
sachs.bif,11,0.7272727272727273,4,8,3,"Y={'P38', 'Erk', 'Akt'}, X={'PKC', 'Mek', 'PKA'}",False,1,4,6,30,13,0.43333333333333335,6,24,0.2,6,0
alarm.bif,37,0.13513513513513514,0,5,32,"Y={'VENTLUNG', 'PRESS', 'HYPOVOLEMIA', 'TPR'}, X={'MINVOLSET', 'VENTTUBE', 'KINKEDTUBE'}",False,1,1,1,30,7,0.23333333333333334,25,5,0.8333333333333334,23,2
alarm.bif,37,0.2972972972972973,1,11,26,"Y={'MINVOL', 'VENTLUNG', 'VENTALV', 'HYPOVOLEMIA', 'PCWP'}, X={'INTUBATION', 'MINVOLSET', 'LVEDVOLUME', 'KINKEDTUBE', 'LVFAILURE'}",False,1,7,7,30,8,0.26666666666666666,22,8,0.7333333333333333,22,0
alarm.bif,37,0.918918918918919,2,34,7,"Y={'MINVOL', 'VENTALV', 'PAP', 'LVEDVOLUME', 'KINKEDTUBE'}, X={'VENTLUNG', 'VENTMACH', 'INTUBATION', 'MINVOLSET', 'LVFAILURE'}",False,1,15,33,30,11,0.36666666666666664,17,13,0.5666666666666667,17,0
alarm.bif,37,0.16216216216216217,3,6,31,"Y={'CVP', 'HISTORY', 'VENTTUBE'}, X={'DISCONNECT', 'MINVOLSET', 'VENTMACH', 'LVEDVOLUME', 'LVFAILURE'}",False,1,2,2,30,10,0.3333333333333333,16,14,0.5333333333333333,14,2
alarm.bif,37,0.8378378378378378,4,31,9,"Y={'ERRCAUTER', 'STROKEVOLUME', 'HR'}, X={'VENTALV', 'SAO2', 'CATECHOL', 'SHUNT', 'ANAPHYLAXIS'}; Y={'ERRCAUTER', 'HREKG', 'MINVOLSET', 'STROKEVOLUME', 'FIO2'}, X={'SHUNT'}",True,1,25,31,30,7,0.23333333333333334,20,10,0.6666666666666666,20,0
barley.bif,48,0.125,0,6,42,"Y={'aar_mod', 'sorttkv', 'ksort', 'sort'}, X={'tkvs', 'pesticid', 'frspdag'}",False,3,6,6,30,7,0.23333333333333334,24,6,0.8,23,1
barley.bif,48,0.14583333333333334,1,7,41,"Y={'slt22'}, X={'antplnt', 'srtsize'}; Y={'nopt', 'ngodnt', 'srtprot', 'ntilg', 'slt22'}, X={'antplnt', 'jordinf', 'pesticid', 'rokap', 'jordn'}",True,1,7,7,30,9,0.3,21,9,0.7,21,0
barley.bif,48,0.5833333333333334,2,28,20,"Y={'tkv', 'ngodnt'}, X={'aks_m2'}; Y={'tkv', 'exptgens'}, X={'aks_m2'}",True,1,20,28,30,6,0.2,19,11,0.6333333333333333,19,0
barley.bif,48,0.8333333333333334,3,40,11,"Y={'aar_mod', 'udb', 'spndx'}, X={'komm', 'sorttkv', 'forfrugt'}; Y={'udb'}, X={'ngtilg', 'sorttkv', 'jordtype'}",True,1,38,40,30,8,0.26666666666666666,14,16,0.4666666666666667,14,0
barley.bif,48,0.6666666666666666,4,32,18,"Y={'frspdag', 's2225', 'slt22', 'nmin'}, X={'sort', 'rokap'}",False,2,29,32,30,6,0.2,23,7,0.7666666666666667,23,0
child.bif,20,0.15,0,3,17,"Y={'DuctFlow', 'Age', 'HypDistrib', 'LowerBodyO2'}, X={'BirthAsphyxia', 'LungParench', 'CardiacMixing'}",False,1,3,3,30,8,0.26666666666666666,21,9,0.7,19,2
child.bif,20,0.15,1,3,17,"Y={'CardiacMixing'}, X={'BirthAsphyxia', 'Disease'}",False,1,2,2,30,8,0.26666666666666666,24,6,0.8,22,2
child.bif,20,0.3,2,6,14,"Y={'HypoxiaInO2', 'Grunting', 'LungFlow'}, X={'BirthAsphyxia', 'LungParench', 'Sick', 'Disease', 'CardiacMixing'}; Y={'Grunting', 'CardiacMixing', 'ChestXray'}, X={'BirthAsphyxia'}",True,1,4,5,30,11,0.36666666666666664,20,10,0.6666666666666666,19,1
child.bif,20,0.9,3,18,5,"Y={'CO2Report', 'BirthAsphyxia'}, X={'LungParench', 'Disease', 'CO2'}; Y={'CO2Report'}, X={'LungParench'}",True,1,6,17,30,11,0.36666666666666664,15,15,0.5,14,1
child.bif,20,0.95,4,19,3,"Y={'Sick', 'HypDistrib', 'GruntingReport'}, X={'CardiacMixing'}; Y={'RUQO2', 'XrayReport', 'GruntingReport'}, X={'Sick', 'CardiacMixing'}",True,1,16,19,30,8,0.26666666666666666,19,11,0.6333333333333333,19,0
insurance.bif,27,0.7777777777777778,0,21,9,"Y={'SocioEcon', 'Mileage', 'OtherCar', 'AntiTheft'}, X={'Age', 'RiskAversion'}",False,1,5,18,30,9,0.3,16,14,0.5333333333333333,16,0
insurance.bif,27,0.6666666666666666,1,18,9,"Y={'ThisCarCost', 'DrivHist', 'VehicleYear', 'OtherCar', 'MedCost'}, X={'CarValue'}; Y={'ThisCarCost'}, X={'Mileage', 'DrivQuality', 'SeniorTrain', 'CarValue'}",True,1,17,18,30,5,0.16666666666666666,18,12,0.6,18,0
insurance.bif,27,0.9629629629629629,2,26,5,"Y={'RuggedAuto', 'MakeModel', 'DrivingSkill', 'SeniorTrain', 'VehicleYear'}, X={'SocioEcon'}; Y={'Mileage', 'MedCost', 'SeniorTrain'}, X={'DrivingSkill', 'VehicleYear', 'SocioEcon', 'Airbag', 'DrivQuality'}",True,1,21,26,30,10,0.3333333333333333,9,21,0.3,9,0
insurance.bif,27,0.2962962962962963,3,8,19,"Y={'RuggedAuto', 'GoodStudent', 'SocioEcon', 'Airbag'}, X={'Age', 'RiskAversion', 'VehicleYear'}; Y={'RuggedAuto', 'Antilock', 'Cushioning'}, X={'MakeModel', 'VehicleYear', 'Airbag', 'SocioEcon', 'RiskAversion'}",True,1,5,5,30,6,0.2,24,6,0.8,24,0
insurance.bif,27,0.25925925925925924,4,7,20,"Y={'AntiTheft'}, X={'Age', 'RiskAversion'}; Y={'Airbag', 'ThisCarCost', 'SeniorTrain', 'AntiTheft'}, X={'RiskAversion', 'Theft'}",True,1,6,6,30,9,0.3,19,11,0.6333333333333333,19,0
mildew.bif,35,0.11428571428571428,0,4,31,"Y={'meldug_4', 'dm_3', 'straaling_1', 'middel_2'}, X={'nedboer_1', 'lai_1', 'dm_2'}",False,1,4,4,30,11,0.36666666666666664,18,12,0.6,18,0
