graph,n_vars,p_conf,sim,n_confounders,query,query_is_cf,min_intervention_outcome_dist,n_R_theta,n_R_theta_star,n_experiments,n_cf_experiments,fraction_cf,n_useless,n_useful,fraction_pruned,id_pruned,blocked_pruned
asia.bif,8,0.005,0,1,"Y={'asia', 'either', 'dysp', 'smoke'}, X={'lung', 'tub', 'bronc'}; Y={'lung', 'asia', 'bronc', 'either'}, X={'tub', 'smoke'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,1,1,"Y={'lung', 'xray', 'either', 'dysp'}, X={'asia', 'bronc'}; Y={'lung', 'dysp'}, X={'asia', 'bronc'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,2,1,"Y={'asia', 'dysp', 'tub'}, X={'lung', 'either', 'smoke', 'bronc'}; Y={'asia', 'lung', 'tub'}, X={'smoke'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,3,1,"Y={'tub', 'either', 'xray', 'dysp'}, X={'smoke'}; Y={'lung', 'bronc', 'dysp', 'tub', 'either'}, X={'asia', 'smoke'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,4,1,"Y={'xray'}, X={'asia', 'lung', 'tub', 'either', 'smoke'}; Y={'lung', 'dysp', 'tub', 'either', 'xray'}, X={'asia', 'smoke'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,5,1,"Y={'tub', 'either', 'dysp'}, X={'asia', 'lung', 'smoke', 'bronc'}; Y={'lung', 'asia', 'bronc', 'dysp'}, X={'tub', 'smoke'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,6,1,"Y={'asia', 'lung', 'dysp', 'either', 'smoke'}, X={'tub', 'bronc'}; Y={'lung', 'xray', 'either', 'dysp'}, X={'tub', 'bronc', 'smoke'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,7,1,"Y={'tub', 'lung'}, X={'asia', 'smoke'}; Y={'tub', 'either', 'xray'}, X={'asia', 'lung'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,8,1,"Y={'tub'}, X={'asia'}; Y={'xray', 'tub', 'bronc', 'dysp'}, X={'asia', 'either'}",True,1,1,1,50,0,0.0,36,14,0.72,36,0
asia.bif,8,0.005,9,2,"Y={'asia', 'lung', 'bronc', 'tub', 'xray'}, X={'either', 'smoke'}; Y={'xray'}, X={'smoke', 'tub', 'either', 'asia'}",True,1,2,2,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.015,0,2,"Y={'asia', 'lung', 'bronc', 'tub', 'either'}, X={'smoke'}; Y={'tub', 'lung'}, X={'asia', 'smoke'}",True,1,2,2,50,0,0.0,41,9,0.82,41,0
asia.bif,8,0.015,1,1,"Y={'tub', 'dysp', 'asia'}, X={'smoke'}; Y={'bronc', 'dysp'}, X={'smoke'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.015,2,2,"Y={'asia', 'lung', 'bronc', 'dysp', 'smoke'}, X={'tub'}; Y={'asia', 'dysp', 'smoke'}, X={'tub', 'lung'}",True,1,2,2,50,0,0.0,38,12,0.76,38,0
asia.bif,8,0.015,3,1,"Y={'asia', 'xray'}, X={'smoke'}; Y={'either', 'xray', 'dysp'}, X={'asia', 'lung', 'bronc', 'tub', 'smoke'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.015,4,1,"Y={'asia', 'lung', 'bronc'}, X={'smoke'}; Y={'lung'}, X={'smoke'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.015,5,2,"Y={'either'}, X={'asia', 'lung', 'smoke', 'tub'}; Y={'tub', 'either', 'bronc'}, X={'asia', 'lung', 'smoke'}",True,1,2,2,50,0,0.0,40,10,0.8,40,0
asia.bif,8,0.015,6,2,"Y={'asia', 'xray', 'tub'}, X={'lung', 'either', 'smoke'}; Y={'xray'}, X={'asia', 'lung', 'tub', 'either', 'smoke'}",True,1,2,2,50,0,0.0,45,5,0.9,45,0
asia.bif,8,0.015,7,1,"Y={'bronc'}, X={'smoke'}; Y={'tub', 'bronc', 'asia'}, X={'smoke'}",True,1,1,1,50,0,0.0,33,17,0.66,33,0
asia.bif,8,0.015,8,1,"Y={'asia', 'lung', 'dysp', 'either', 'smoke'}, X={'tub', 'bronc'}; Y={'tub', 'lung', 'dysp', 'asia'}, X={'bronc', 'smoke'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.015,9,1,"Y={'asia', 'tub', 'xray', 'smoke'}, X={'lung', 'either'}; Y={'asia', 'dysp', 'tub', 'xray', 'smoke'}, X={'lung', 'either'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.025,0,1,"Y={'bronc'}, X={'smoke'}; Y={'lung', 'bronc'}, X={'smoke'}",True,1,1,1,50,0,0.0,37,13,0.74,37,0
asia.bif,8,0.025,1,1,"Y={'asia', 'either', 'dysp'}, X={'tub', 'lung', 'smoke', 'bronc'}; Y={'tub', 'either'}, X={'lung', 'smoke'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.025,2,3,"Y={'tub', 'lung', 'dysp', 'bronc'}, X={'asia', 'either', 'smoke'}; Y={'bronc', 'dysp'}, X={'asia', 'lung', 'tub', 'either', 'smoke'}",True,1,3,3,50,0,0.0,30,20,0.6,30,0
asia.bif,8,0.025,3,1,"Y={'lung', 'either'}, X={'asia', 'smoke', 'tub'}; Y={'asia', 'either', 'dysp'}, X={'smoke'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.025,4,1,"Y={'bronc', 'dysp'}, X={'tub', 'either'}; Y={'lung', 'bronc', 'dysp', 'xray', 'smoke'}, X={'tub', 'asia'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.025,5,1,"Y={'bronc'}, X={'smoke'}; Y={'lung', 'bronc'}, X={'smoke'}",True,1,1,1,50,0,0.0,36,14,0.72,36,0
asia.bif,8,0.025,6,2,"Y={'lung'}, X={'smoke'}; Y={'lung'}, X={'smoke'}",True,1,2,2,50,0,0.0,19,31,0.38,19,0
asia.bif,8,0.025,7,1,"Y={'asia', 'either', 'smoke'}, X={'tub', 'lung'}; Y={'either'}, X={'lung'}",True,1,1,1,50,0,0.0,50,0,1.0,50,0
