graph,n_vars,p_conf,sim,n_confounders,query,n_R_theta,n_R_theta_star,n_experiments,n_useless,n_useful,fraction_pruned,id_pruned,blocked_pruned
asia.bif,8,0.05,0,1,"Y={'lung'}, X={'either', 'dysp'}; Y={'dysp'}, X={'tub', 'lung'}",1,1,100,67,33,0.67,63,4
asia.bif,8,0.05,1,0,"Y={'bronc'}, X={'xray', 'either', 'smoke', 'lung'}; Y={'xray'}, X={'dysp'}; Y={'either'}, X={'asia'}",0,0,100,100,0,1.0,81,19
asia.bif,8,0.05,2,4,"Y={'tub'}, X={'dysp'}; Y={'xray'}, X={'either', 'smoke', 'tub'}; Y={'tub'}, X={'either', 'lung'}",2,4,100,58,42,0.58,58,0
asia.bif,8,0.05,3,1,"Y={'smoke'}, X={'xray', 'dysp', 'lung'}; Y={'smoke'}, X={'either', 'bronc'}",0,0,100,100,0,1.0,73,27
asia.bif,8,0.05,4,2,"Y={'dysp'}, X={'smoke', 'bronc'}; Y={'lung'}, X={'xray', 'smoke'}; Y={'lung'}, X={'dysp', 'tub'}",2,2,100,70,30,0.7,69,1
asia.bif,8,0.05,5,0,"Y={'tub'}, X={'lung'}; Y={'lung'}, X={'dysp', 'tub'}",0,0,100,100,0,1.0,74,26
asia.bif,8,0.05,6,1,"Y={'dysp'}, X={'either', 'lung'}; Y={'bronc'}, X={'either', 'xray', 'asia'}",0,0,100,100,0,1.0,61,39
asia.bif,8,0.05,7,1,"Y={'either'}, X={'lung', 'smoke', 'tub'}; Y={'xray'}, X={'tub'}",1,1,100,67,33,0.67,66,1
asia.bif,8,0.05,8,1,"Y={'lung'}, X={'xray', 'tub', 'bronc', 'smoke'}",1,1,100,78,22,0.78,77,1
asia.bif,8,0.05,9,1,"Y={'tub'}, X={'xray', 'dysp', 'lung'}; Y={'either'}, X={'bronc'}",0,0,100,100,0,1.0,71,29
asia.bif,8,0.05,10,3,"Y={'bronc'}, X={'dysp', 'asia', 'lung'}; Y={'dysp'}, X={'xray', 'asia', 'lung'}",3,3,100,53,47,0.53,53,0
asia.bif,8,0.05,11,3,"Y={'smoke'}, X={'dysp', 'lung'}; Y={'bronc'}, X={'lung'}",2,2,100,62,38,0.62,60,2
asia.bif,8,0.05,12,0,"Y={'xray'}, X={'smoke', 'asia', 'tub'}",0,0,100,100,0,1.0,75,25
asia.bif,8,0.05,13,2,"Y={'tub'}, X={'either', 'xray', 'dysp'}; Y={'either'}, X={'bronc'}; Y={'bronc'}, X={'either', 'xray', 'asia', 'smoke'}; Y={'smoke'}, X={'asia', 'dysp'}",2,2,100,60,40,0.6,60,0
asia.bif,8,0.05,14,3,"Y={'dysp'}, X={'smoke', 'lung'}",3,3,100,42,58,0.42,40,2
asia.bif,8,0.05,15,2,"Y={'xray'}, X={'dysp', 'lung'}; Y={'lung'}, X={'tub'}; Y={'either'}, X={'xray', 'smoke', 'asia', 'lung'}",2,2,100,64,36,0.64,64,0
asia.bif,8,0.05,16,2,"Y={'either'}, X={'xray', 'smoke'}",2,2,100,44,56,0.44,44,0
asia.bif,8,0.05,17,0,"Y={'dysp'}, X={'smoke', 'asia'}; Y={'dysp'}, X={'either', 'smoke', 'bronc'}; Y={'lung'}, X={'tub'}",0,0,100,100,0,1.0,62,38
asia.bif,8,0.05,18,0,"Y={'asia'}, X={'either'}",0,0,100,100,0,1.0,74,26
asia.bif,8,0.05,19,0,"Y={'dysp'}, X={'tub'}",0,0,100,100,0,1.0,69,31
asia.bif,8,0.05,20,3,"Y={'lung'}, X={'xray', 'tub', 'bronc'}; Y={'tub'}, X={'lung', 'bronc'}; Y={'tub'}, X={'xray', 'lung'}",3,3,100,75,25,0.75,75,0
asia.bif,8,0.05,21,0,"Y={'tub'}, X={'lung', 'bronc'}; Y={'either'}, X={'xray', 'smoke', 'asia'}",0,0,100,100,0,1.0,65,35
asia.bif,8,0.05,22,1,"Y={'bronc'}, X={'asia', 'either', 'dysp', 'tub'}; Y={'smoke'}, X={'dysp'}; Y={'either'}, X={'bronc'}; Y={'bronc'}, X={'either', 'xray'}",1,1,100,68,32,0.68,67,1
asia.bif,8,0.05,23,2,"Y={'dysp'}, X={'tub', 'bronc'}; Y={'lung'}, X={'bronc'}",2,2,100,73,27,0.73,73,0
asia.bif,8,0.05,24,3,"Y={'tub'}, X={'xray', 'bronc'}; Y={'either'}, X={'asia'}",3,3,100,57,43,0.57,57,0
asia.bif,8,0.05,25,1,"Y={'lung'}, X={'asia', 'bronc'}; Y={'smoke'}, X={'either', 'asia'}",0,0,100,100,0,1.0,71,29
asia.bif,8,0.05,26,1,"Y={'tub'}, X={'xray', 'lung'}; Y={'tub'}, X={'dysp'}",0,0,100,100,0,1.0,54,46
asia.bif,8,0.05,27,1,"Y={'xray'}, X={'dysp', 'lung'}",1,1,100,64,36,0.64,62,2
asia.bif,8,0.05,28,0,"Y={'dysp'}, X={'smoke', 'asia', 'bronc'}",0,0,100,100,0,1.0,64,36
asia.bif,8,0.05,29,0,"Y={'xray'}, X={'dysp', 'lung'}; Y={'tub'}, X={'xray', 'dysp', 'smoke'}",0,0,100,100,0,1.0,64,36
asia.bif,8,0.05,30,1,"Y={'lung'}, X={'dysp'}; Y={'lung'}, X={'dysp', 'tub'}",1,1,100,71,29,0.71,71,0
asia.bif,8,0.05,31,0,"Y={'lung'}, X={'asia', 'bronc'}; Y={'dysp'}, X={'xray'}",0,0,100,100,0,1.0,65,35
asia.bif,8,0.05,32,4,"Y={'tub'}, X={'xray', 'asia'}; Y={'either'}, X={'xray', 'smoke', 'asia'}; Y={'tub'}, X={'smoke', 'dysp', 'bronc'}",4,4,100,50,50,0.5,50,0
asia.bif,8,0.05,33,2,"Y={'asia'}, X={'either', 'dysp', 'bronc'}; Y={'either'}, X={'smoke', 'asia'}; Y={'tub'}, X={'xray', 'bronc'}",2,2,100,61,39,0.61,61,0
asia.bif,8,0.05,34,2,"Y={'dysp'}, X={'xray', 'asia'}",2,2,100,61,39,0.61,61,0
asia.bif,8,0.05,35,1,"Y={'bronc'}, X={'either'}; Y={'xray'}, X={'either', 'smoke', 'tub'}; Y={'dysp'}, X={'smoke', 'asia'}",1,1,100,64,36,0.64,63,1
asia.bif,8,0.05,36,0,"Y={'lung'}, X={'either', 'dysp', 'tub', 'bronc'}; Y={'bronc'}, X={'smoke', 'dysp', 'lung'}",0,0,100,100,0,1.0,73,27
asia.bif,8,0.05,37,1,"Y={'either'}, X={'xray', 'smoke', 'lung', 'bronc'}",1,1,100,70,30,0.7,70,0
asia.bif,8,0.05,38,2,"Y={'bronc'}, X={'tub', 'xray', 'lung'}; Y={'lung'}, X={'dysp', 'tub'}",2,2,100,66,34,0.66,66,0
asia.bif,8,0.05,39,0,"Y={'lung'}, X={'xray', 'asia'}; Y={'tub'}, X={'dysp'}",0,0,100,100,0,1.0,79,21
asia.bif,8,0.05,40,0,"Y={'asia'}, X={'either'}; Y={'either'}, X={'xray', 'smoke'}; Y={'smoke'}, X={'either', 'xray', 'dysp'}",0,0,100,100,0,1.0,73,27
asia.bif,8,0.05,41,2,"Y={'asia'}, X={'either', 'dysp'}; Y={'dysp'}, X={'smoke', 'lung'}",2,2,100,51,49,0.51,50,1
asia.bif,8,0.05,42,0,"Y={'either'}, X={'smoke'}; Y={'tub'}, X={'xray'}; Y={'dysp'}, X={'smoke', 'asia', 'lung'}; Y={'lung'}, X={'tub', 'bronc'}",0,0,100,100,0,1.0,73,27
asia.bif,8,0.05,43,0,"Y={'bronc'}, X={'either', 'xray'}",0,0,100,100,0,1.0,75,25
asia.bif,8,0.05,44,0,"Y={'smoke'}, X={'either', 'dysp', 'lung', 'bronc'}; Y={'dysp'}, X={'xray'}",0,0,100,100,0,1.0,66,34
asia.bif,8,0.05,45,2,"Y={'xray'}, X={'dysp', 'lung'}; Y={'smoke'}, X={'either'}",2,2,100,65,35,0.65,65,0
asia.bif,8,0.05,46,2,"Y={'asia'}, X={'either', 'smoke', 'dysp'}; Y={'asia'}, X={'either', 'xray'}; Y={'tub'}, X={'xray', 'lung'}",1,1,100,62,38,0.62,61,1
asia.bif,8,0.05,47,1,"Y={'bronc'}, X={'smoke', 'lung'}; Y={'smoke'}, X={'xray', 'dysp'}; Y={'either'}, X={'bronc'}",1,1,100,68,32,0.68,67,1
asia.bif,8,0.05,48,4,"Y={'lung'}, X={'bronc'}; Y={'smoke'}, X={'xray', 'dysp'}; Y={'dysp'}, X={'xray', 'tub', 'asia', 'lung', 'bronc'}; Y={'either'}, X={'xray', 'smoke', 'lung'}",4,4,100,56,44,0.56,55,1
asia.bif,8,0.05,49,2,"Y={'xray'}, X={'dysp'}",2,2,100,68,32,0.68,67,1
asia.bif,8,0.15,0,5,"Y={'dysp'}, X={'lung'}",4,5,100,29,71,0.29,29,0
asia.bif,8,0.15,1,3,"Y={'lung'}, X={'xray', 'bronc'}; Y={'smoke'}, X={'tub', 'either', 'lung'}",2,3,100,75,25,0.75,75,0
asia.bif,8,0.15,2,11,"Y={'dysp'}, X={'xray'}",11,11,100,15,85,0.15,15,0
asia.bif,8,0.15,3,5,"Y={'tub'}, X={'xray', 'dysp', 'lung'}",2,3,100,66,34,0.66,65,1
asia.bif,8,0.15,4,5,"Y={'either'}, X={'smoke', 'lung'}; Y={'bronc'}, X={'either'}",5,5,100,44,56,0.44,44,0
asia.bif,8,0.15,5,4,"Y={'dysp'}, X={'either', 'asia', 'lung'}; Y={'xray'}, X={'dysp', 'lung'}",4,4,100,28,72,0.28,28,0
asia.bif,8,0.15,6,3,"Y={'smoke'}, X={'either'}",1,1,100,65,35,0.65,63,2
asia.bif,8,0.15,7,5,"Y={'dysp'}, X={'xray'}; Y={'either'}, X={'xray', 'smoke'}; Y={'lung'}, X={'asia', 'dysp'}",5,5,100,34,66,0.34,34,0
asia.bif,8,0.15,8,10,"Y={'bronc'}, X={'lung'}; Y={'tub'}, X={'xray', 'dysp'}",9,10,100,27,73,0.27,27,0
asia.bif,8,0.15,9,8,"Y={'xray'}, X={'lung'}; Y={'xray'}, X={'lung', 'bronc'}; Y={'either'}, X={'smoke', 'xray', 'dysp', 'asia', 'bronc'}",6,8,100,18,82,0.18,18,0
asia.bif,8,0.15,10,5,"Y={'dysp'}, X={'smoke'}; Y={'either'}, X={'smoke', 'dysp', 'bronc'}; Y={'lung'}, X={'xray', 'asia', 'tub', 'bronc'}",5,5,100,30,70,0.3,30,0
asia.bif,8,0.15,11,4,"Y={'tub'}, X={'xray'}; Y={'either'}, X={'smoke', 'bronc'}; Y={'dysp'}, X={'xray'}",4,4,100,59,41,0.59,59,0
asia.bif,8,0.15,12,3,"Y={'either'}, X={'asia', 'lung'}; Y={'lung'}, X={'dysp', 'bronc'}; Y={'lung'}, X={'tub'}",2,2,100,68,32,0.68,68,0
asia.bif,8,0.15,13,5,"Y={'either'}, X={'smoke', 'tub'}; Y={'either'}, X={'smoke', 'lung'}",5,5,100,27,73,0.27,27,0
asia.bif,8,0.15,14,6,"Y={'tub'}, X={'dysp', 'asia', 'lung'}; Y={'smoke'}, X={'either', 'dysp'}; Y={'dysp'}, X={'smoke', 'tub'}; Y={'lung'}, X={'xray'}",6,6,100,43,57,0.43,43,0
asia.bif,8,0.15,15,7,"Y={'tub'}, X={'dysp', 'bronc'}",3,7,100,47,53,0.47,47,0
asia.bif,8,0.15,16,4,"Y={'xray'}, X={'either', 'dysp', 'lung', 'bronc'}; Y={'dysp'}, X={'asia', 'lung'}; Y={'xray'}, X={'asia', 'dysp'}",4,4,100,40,60,0.4,40,0
asia.bif,8,0.15,17,2,"Y={'either'}, X={'smoke', 'bronc'}; Y={'lung'}, X={'smoke', 'asia', 'dysp', 'bronc'}; Y={'bronc'}, X={'either', 'smoke'}",2,2,100,71,29,0.71,71,0
asia.bif,8,0.15,18,3,"Y={'dysp'}, X={'xray', 'tub'}; Y={'either'}, X={'xray', 'smoke', 'bronc'}; Y={'lung'}, X={'xray', 'dysp', 'bronc'}",3,3,100,50,50,0.5,50,0
asia.bif,8,0.15,19,2,"Y={'either'}, X={'xray', 'bronc'}; Y={'asia'}, X={'either', 'lung'}",2,2,100,71,29,0.71,71,0
asia.bif,8,0.15,20,2,"Y={'smoke'}, X={'dysp', 'lung'}; Y={'dysp'}, X={'tub'}; Y={'smoke'}, X={'dysp', 'bronc'}",1,2,100,77,23,0.77,76,1
asia.bif,8,0.15,21,3,"Y={'lung'}, X={'xray', 'bronc', 'smoke'}; Y={'xray'}, X={'dysp', 'tub'}; Y={'tub'}, X={'xray', 'lung', 'smoke'}",3,3,100,54,46,0.54,54,0
asia.bif,8,0.15,22,3,"Y={'either'}, X={'xray', 'asia', 'dysp'}; Y={'either'}, X={'tub', 'bronc'}; Y={'lung'}, X={'either', 'dysp', 'bronc'}; Y={'tub'}, X={'dysp'}",3,3,100,59,41,0.59,59,0
asia.bif,8,0.15,23,3,"Y={'lung'}, X={'tub'}",0,0,100,100,0,1.0,61,39
asia.bif,8,0.15,24,3,"Y={'smoke'}, X={'lung', 'dysp', 'tub'}",1,2,100,51,49,0.51,50,1
asia.bif,8,0.15,25,3,"Y={'dysp'}, X={'tub'}",3,3,100,70,30,0.7,70,0
asia.bif,8,0.15,26,3,"Y={'bronc'}, X={'lung'}; Y={'lung'}, X={'either', 'bronc'}",3,3,100,58,42,0.58,58,0
asia.bif,8,0.15,27,3,"Y={'smoke'}, X={'either', 'lung', 'bronc'}",0,0,100,100,0,1.0,62,38
asia.bif,8,0.15,28,1,"Y={'tub'}, X={'dysp'}; Y={'xray'}, X={'tub'}",1,1,100,76,24,0.76,73,3
asia.bif,8,0.15,29,5,"Y={'lung'}, X={'either', 'xray', 'bronc'}; Y={'xray'}, X={'tub'}; Y={'smoke'}, X={'either', 'xray', 'dysp', 'tub'}",3,4,100,24,76,0.24,23,1
asia.bif,8,0.15,30,5,"Y={'dysp'}, X={'smoke', 'lung'}",4,5,100,62,38,0.62,61,1
asia.bif,8,0.15,31,5,"Y={'dysp'}, X={'xray', 'smoke'}; Y={'either'}, X={'asia'}",5,5,100,42,58,0.42,42,0
asia.bif,8,0.15,32,5,"Y={'xray'}, X={'tub', 'lung'}",4,5,100,43,57,0.43,43,0
asia.bif,8,0.15,33,9,"Y={'tub'}, X={'lung', 'bronc'}; Y={'dysp'}, X={'tub', 'bronc'}; Y={'bronc'}, X={'lung'}",9,9,100,35,65,0.35,35,0
asia.bif,8,0.15,34,5,"Y={'bronc'}, X={'either', 'lung'}; Y={'dysp'}, X={'xray', 'smoke'}; Y={'either'}, X={'xray', 'smoke'}; Y={'lung'}, X={'either', 'xray', 'dysp'}",5,5,100,28,72,0.28,28,0
asia.bif,8,0.15,35,5,"Y={'either'}, X={'asia', 'tub', 'bronc'}; Y={'either'}, X={'smoke'}",5,5,100,62,38,0.62,62,0
asia.bif,8,0.15,36,3,"Y={'xray'}, X={'tub', 'smoke', 'lung'}; Y={'dysp'}, X={'either', 'smoke', 'tub', 'asia', 'bronc'}",3,3,100,60,40,0.6,60,0
asia.bif,8,0.15,37,3,"Y={'dysp'}, X={'smoke', 'asia', 'lung'}",1,2,100,48,52,0.48,46,2
asia.bif,8,0.15,38,4,"Y={'dysp'}, X={'xray', 'smoke'}; Y={'either'}, X={'smoke', 'asia'}; Y={'lung'}, X={'either', 'bronc'}",4,4,100,55,45,0.55,55,0
asia.bif,8,0.15,39,5,"Y={'tub'}, X={'xray', 'dysp', 'smoke'}; Y={'dysp'}, X={'tub'}; Y={'dysp'}, X={'tub', 'either', 'asia', 'lung'}",5,5,100,30,70,0.3,30,0
asia.bif,8,0.15,40,2,"Y={'lung'}, X={'dysp'}; Y={'lung'}, X={'xray', 'dysp', 'bronc'}",1,2,100,63,37,0.63,63,0
asia.bif,8,0.15,41,3,"Y={'either'}, X={'smoke', 'bronc'}; Y={'dysp'}, X={'either', 'lung'}",3,3,100,64,36,0.64,64,0
asia.bif,8,0.15,42,4,"Y={'smoke'}, X={'dysp'}; Y={'dysp'}, X={'lung'}",4,4,100,41,59,0.41,40,1
asia.bif,8,0.15,43,0,"Y={'smoke'}, X={'lung', 'dysp', 'tub'}; Y={'dysp'}, X={'xray', 'smoke', 'tub'}",0,0,100,100,0,1.0,73,27
asia.bif,8,0.15,44,3,"Y={'either'}, X={'xray', 'smoke', 'bronc'}; Y={'tub'}, X={'xray', 'dysp', 'lung'}; Y={'dysp'}, X={'xray', 'tub'}",3,3,100,74,26,0.74,72,2
asia.bif,8,0.15,45,4,"Y={'lung'}, X={'either', 'xray', 'bronc'}",1,1,100,56,44,0.56,52,4
asia.bif,8,0.15,46,3,"Y={'xray'}, X={'lung'}",2,2,100,69,31,0.69,68,1
asia.bif,8,0.15,47,5,"Y={'either'}, X={'xray', 'asia', 'bronc'}; Y={'smoke'}, X={'dysp'}",5,5,100,57,43,0.57,57,0
asia.bif,8,0.15,48,3,"Y={'either'}, X={'asia', 'dysp', 'bronc'}",2,3,100,55,45,0.55,55,0
asia.bif,8,0.15,49,3,"Y={'xray'}, X={'tub', 'bronc'}; Y={'lung'}, X={'xray', 'asia'}; Y={'bronc'}, X={'either', 'xray', 'asia'}",2,3,100,37,63,0.37,37,0
asia.bif,8,0.25,0,6,"Y={'lung'}, X={'asia', 'dysp'}; Y={'lung'}, X={'tub'}",3,6,100,33,67,0.33,33,0
asia.bif,8,0.25,1,9,"Y={'either'}, X={'smoke', 'asia', 'lung'}; Y={'either'}, X={'bronc'}",9,9,100,20,80,0.2,20,0
asia.bif,8,0.25,2,7,"Y={'smoke'}, X={'dysp', 'lung'}; Y={'bronc'}, X={'either', 'lung'}",2,7,100,29,71,0.29,29,0
asia.bif,8,0.25,3,15,"Y={'xray'}, X={'either', 'tub'}; Y={'dysp'}, X={'smoke', 'lung'}",15,15,100,23,77,0.23,23,0
asia.bif,8,0.25,4,5,"Y={'lung'}, X={'either', 'xray', 'dysp'}; Y={'tub'}, X={'dysp', 'asia', 'lung'}; Y={'lung'}, X={'xray', 'bronc'}",4,5,100,44,56,0.44,44,0
asia.bif,8,0.25,5,8,"Y={'dysp'}, X={'xray'}; Y={'tub'}, X={'lung'}; Y={'either'}, X={'asia', 'bronc'}",8,8,100,41,59,0.41,41,0
asia.bif,8,0.25,6,7,"Y={'xray'}, X={'smoke', 'asia', 'tub'}",5,7,100,31,69,0.31,31,0
asia.bif,8,0.25,7,5,"Y={'bronc'}, X={'either', 'xray', 'asia', 'smoke'}; Y={'smoke'}, X={'dysp', 'tub', 'bronc'}; Y={'lung'}, X={'dysp', 'tub'}",3,5,100,57,43,0.57,57,0
asia.bif,8,0.25,8,10,"Y={'asia'}, X={'xray', 'either', 'smoke'}",3,10,100,31,69,0.31,31,0
asia.bif,8,0.25,9,8,"Y={'xray'}, X={'dysp', 'tub'}; Y={'either'}, X={'asia'}",7,8,100,27,73,0.27,27,0
asia.bif,8,0.25,10,8,"Y={'dysp'}, X={'smoke', 'lung'}",7,8,100,37,63,0.37,37,0
asia.bif,8,0.25,11,5,"Y={'dysp'}, X={'either', 'tub'}",4,5,100,76,24,0.76,76,0
asia.bif,8,0.25,12,10,"Y={'smoke'}, X={'dysp', 'tub'}",2,10,100,21,79,0.21,21,0
asia.bif,8,0.25,13,3,"Y={'xray'}, X={'either', 'lung'}; Y={'either'}, X={'asia'}",3,3,100,53,47,0.53,53,0
asia.bif,8,0.25,14,4,"Y={'xray'}, X={'tub'}; Y={'xray'}, X={'dysp', 'tub'}",3,4,100,39,61,0.39,39,0
asia.bif,8,0.25,15,9,"Y={'either'}, X={'asia', 'lung'}",4,9,100,38,62,0.38,38,0
asia.bif,8,0.25,16,4,"Y={'lung'}, X={'tub'}; Y={'lung'}, X={'smoke', 'tub'}",3,4,100,33,67,0.33,33,0
asia.bif,8,0.25,17,5,"Y={'either'}, X={'smoke', 'bronc'}",4,5,100,65,35,0.65,65,0
asia.bif,8,0.25,18,8,"Y={'asia'}, X={'either', 'dysp'}; Y={'tub'}, X={'asia', 'dysp', 'lung'}; Y={'either'}, X={'smoke', 'asia', 'bronc'}",5,8,100,28,72,0.28,28,0
asia.bif,8,0.25,19,3,"Y={'dysp'}, X={'asia', 'lung', 'bronc'}; Y={'lung'}, X={'xray'}",3,3,100,55,45,0.55,55,0
asia.bif,8,0.25,20,9,"Y={'xray'}, X={'dysp', 'lung'}",8,9,100,18,82,0.18,18,0
asia.bif,8,0.25,21,7,"Y={'asia'}, X={'either', 'tub'}; Y={'dysp'}, X={'either', 'lung'}; Y={'dysp'}, X={'either', 'smoke'}",6,7,100,34,66,0.34,34,0
asia.bif,8,0.25,22,7,"Y={'dysp'}, X={'smoke'}; Y={'either'}, X={'smoke', 'dysp'}; Y={'dysp'}, X={'xray', 'smoke'}; Y={'xray'}, X={'either', 'lung'}",7,7,100,18,82,0.18,18,0
asia.bif,8,0.25,23,9,"Y={'xray'}, X={'asia', 'tub'}; Y={'either'}, X={'smoke', 'tub'}",6,9,100,20,80,0.2,20,0
asia.bif,8,0.25,24,8,"Y={'tub'}, X={'lung'}",5,7,100,19,81,0.19,19,0
asia.bif,8,0.25,25,7,"Y={'either'}, X={'smoke', 'tub'}; Y={'xray'}, X={'smoke', 'tub'}",3,7,100,46,54,0.46,46,0
asia.bif,8,0.25,26,8,"Y={'bronc'}, X={'either'}; Y={'bronc'}, X={'lung'}; Y={'smoke'}, X={'dysp', 'tub', 'bronc'}; Y={'smoke'}, X={'dysp'}",6,8,100,17,83,0.17,17,0
asia.bif,8,0.25,27,10,"Y={'either'}, X={'bronc'}; Y={'dysp'}, X={'xray'}; Y={'tub'}, X={'smoke', 'dysp', 'bronc'}",10,10,100,34,66,0.34,34,0
asia.bif,8,0.25,28,9,"Y={'dysp'}, X={'lung'}; Y={'smoke'}, X={'either', 'xray'}",9,9,100,21,79,0.21,21,0
asia.bif,8,0.25,29,9,"Y={'tub'}, X={'dysp', 'lung'}; Y={'lung'}, X={'tub'}",7,9,100,21,79,0.21,21,0
asia.bif,8,0.25,30,7,"Y={'smoke'}, X={'either', 'asia', 'tub'}; Y={'bronc'}, X={'either'}; Y={'xray'}, X={'asia', 'dysp', 'tub'}",7,7,100,46,54,0.46,46,0
asia.bif,8,0.25,31,10,"Y={'smoke'}, X={'either', 'bronc'}; Y={'bronc'}, X={'either'}; Y={'dysp'}, X={'either', 'smoke'}",7,10,100,31,69,0.31,31,0
asia.bif,8,0.25,32,7,"Y={'tub'}, X={'xray', 'dysp'}; Y={'lung'}, X={'smoke', 'dysp'}",3,7,100,29,71,0.29,29,0
asia.bif,8,0.25,33,5,"Y={'smoke'}, X={'either'}; Y={'lung'}, X={'dysp'}",1,5,100,42,58,0.42,42,0
asia.bif,8,0.25,34,7,"Y={'either'}, X={'xray', 'asia', 'dysp'}",5,7,100,23,77,0.23,23,0
asia.bif,8,0.25,35,8,"Y={'dysp'}, X={'either', 'smoke', 'tub'}; Y={'either'}, X={'smoke', 'dysp'}",8,8,100,28,72,0.28,28,0
asia.bif,8,0.25,36,7,"Y={'lung'}, X={'xray', 'asia', 'tub'}; Y={'tub'}, X={'either', 'xray', 'dysp', 'lung', 'bronc'}",7,7,100,34,66,0.34,34,0
asia.bif,8,0.25,37,7,"Y={'xray'}, X={'smoke', 'dysp', 'lung'}; Y={'bronc'}, X={'smoke', 'dysp', 'lung'}; Y={'tub'}, X={'dysp'}; Y={'lung'}, X={'tub', 'bronc'}",7,7,100,29,71,0.29,29,0
asia.bif,8,0.25,38,5,"Y={'bronc'}, X={'either'}; Y={'lung'}, X={'dysp'}; Y={'either'}, X={'smoke', 'asia', 'bronc'}",3,5,100,68,32,0.68,68,0
asia.bif,8,0.25,39,7,"Y={'smoke'}, X={'either', 'asia'}",1,7,100,61,39,0.61,61,0
asia.bif,8,0.25,40,2,"Y={'tub'}, X={'dysp', 'lung'}; Y={'xray'}, X={'lung'}; Y={'dysp'}, X={'tub', 'bronc'}; Y={'tub'}, X={'xray', 'bronc'}",2,2,100,67,33,0.67,66,1
asia.bif,8,0.25,41,6,"Y={'asia'}, X={'either', 'dysp', 'bronc'}; Y={'lung'}, X={'smoke', 'asia', 'bronc'}",4,6,100,24,76,0.24,24,0
asia.bif,8,0.25,42,5,"Y={'smoke'}, X={'either', 'xray', 'lung'}; Y={'lung'}, X={'either', 'dysp'}; Y={'xray'}, X={'either', 'dysp', 'lung'}",4,5,100,35,65,0.35,35,0
asia.bif,8,0.25,43,8,"Y={'dysp'}, X={'lung', 'tub', 'bronc'}",3,8,100,31,69,0.31,31,0
asia.bif,8,0.25,44,3,"Y={'smoke'}, X={'either', 'dysp'}; Y={'xray'}, X={'tub'}",2,2,100,67,33,0.67,67,0
asia.bif,8,0.25,45,8,"Y={'lung'}, X={'asia', 'dysp'}; Y={'tub'}, X={'smoke', 'dysp'}",8,8,100,15,85,0.15,15,0
asia.bif,8,0.25,46,8,"Y={'dysp'}, X={'tub', 'either', 'lung', 'smoke'}",3,8,100,35,65,0.35,35,0
asia.bif,8,0.25,47,6,"Y={'tub'}, X={'xray', 'dysp'}; Y={'bronc'}, X={'either'}",4,6,100,40,60,0.4,40,0
asia.bif,8,0.25,48,9,"Y={'xray'}, X={'dysp'}; Y={'tub'}, X={'lung'}; Y={'either'}, X={'xray', 'bronc'}",8,9,100,25,75,0.25,25,0
asia.bif,8,0.25,49,10,"Y={'lung'}, X={'either', 'xray', 'dysp'}",3,10,100,21,79,0.21,21,0
asia.bif,8,0.35,0,14,"Y={'smoke'}, X={'either', 'tub', 'dysp', 'asia', 'lung', 'bronc'}; Y={'xray'}, X={'dysp'}; Y={'either'}, X={'smoke', 'asia', 'bronc'}",14,14,100,19,81,0.19,19,0
asia.bif,8,0.35,1,10,"Y={'lung'}, X={'xray'}; Y={'either'}, X={'xray', 'asia', 'lung', 'bronc'}",8,10,100,41,59,0.41,41,0
asia.bif,8,0.35,2,12,"Y={'asia'}, X={'either', 'dysp', 'lung'}",5,12,100,19,81,0.19,19,0
asia.bif,8,0.35,3,8,"Y={'xray'}, X={'tub', 'either', 'lung'}",3,8,100,29,71,0.29,29,0
asia.bif,8,0.35,4,7,"Y={'tub'}, X={'xray'}; Y={'tub'}, X={'xray', 'asia', 'smoke'}",1,7,100,27,73,0.27,27,0
asia.bif,8,0.35,5,7,"Y={'tub'}, X={'xray', 'lung'}",2,7,100,30,70,0.3,30,0
asia.bif,8,0.35,6,5,"Y={'lung'}, X={'dysp'}",3,3,100,52,48,0.52,52,0
asia.bif,8,0.35,7,7,"Y={'lung'}, X={'either', 'xray'}; Y={'tub'}, X={'asia', 'dysp', 'lung'}",6,7,100,23,77,0.23,23,0
asia.bif,8,0.35,8,13,"Y={'lung'}, X={'xray', 'dysp'}; Y={'lung'}, X={'xray'}; Y={'tub'}, X={'either', 'xray'}",11,13,100,27,73,0.27,27,0
asia.bif,8,0.35,9,9,"Y={'asia'}, X={'either', 'xray'}",1,9,100,37,63,0.37,37,0
asia.bif,8,0.35,10,7,"Y={'dysp'}, X={'xray', 'bronc'}; Y={'tub'}, X={'either', 'xray', 'lung'}; Y={'lung'}, X={'xray', 'dysp'}; Y={'xray'}, X={'either', 'dysp', 'lung'}",7,7,100,48,52,0.48,48,0
asia.bif,8,0.35,11,13,"Y={'lung'}, X={'asia', 'dysp'}; Y={'dysp'}, X={'lung'}; Y={'dysp'}, X={'tub'}",13,13,100,17,83,0.17,17,0
asia.bif,8,0.35,12,12,"Y={'either'}, X={'smoke'}; Y={'asia'}, X={'either'}; Y={'xray'}, X={'dysp', 'tub', 'bronc'}",12,12,100,23,77,0.23,23,0
asia.bif,8,0.35,13,10,"Y={'smoke'}, X={'either', 'lung'}; Y={'lung'}, X={'either', 'tub'}; Y={'either'}, X={'asia', 'tub'}; Y={'lung'}, X={'xray', 'bronc'}",5,10,100,26,74,0.26,26,0
